sigma,p_type,condition,n,accuracy,kappa,f1_macro
3,p2neg,Baseline-Predicted,50,0.82,0.6153846153846154,0.8069498069498069
3,p2neg,Baseline-VADER,50,0.8,0.6,0.7947454844006567
3,p2neg,Baseline-RoBERTa,50,0.84,0.6715927750410509,0.8333333333333334
3,p2neg,NP-Think-Predicted,50,0.86,0.6835443037974684,0.8417005879692447
3,p2neg,NP-Think-VADER,50,0.66,0.0,0.39759036144578314
3,p2neg,NP-Think-RoBERTa,50,0.86,0.6835443037974684,0.8417005879692447
3,p2neg,NP-NoThink-Predicted,50,0.9,0.7672253258845437,0.8831229546517064
3,p2neg,NP-NoThink-VADER,50,0.66,0.0,0.39759036144578314
3,p2neg,NP-NoThink-RoBERTa,50,0.9,0.7672253258845437,0.8831229546517064
3,p2plus,Baseline-Predicted,50,0.8,0.5967741935483871,0.797077922077922
3,p2plus,Baseline-VADER,50,0.82,0.64,0.8181818181818181
3,p2plus,Baseline-RoBERTa,50,0.8,0.5967741935483871,0.797077922077922
3,p2plus,NP-Think-Predicted,50,0.84,0.6721311475409836,0.8357963875205254
3,p2plus,NP-Think-VADER,50,0.6,0.0,0.375
3,p2plus,NP-Think-RoBERTa,50,0.8,0.5967741935483871,0.797077922077922
3,p2plus,NP-NoThink-Predicted,50,0.82,0.6341463414634146,0.8164014687882497
3,p2plus,NP-NoThink-VADER,50,0.6,0.0,0.375
3,p2plus,NP-NoThink-RoBERTa,50,0.8,0.5967741935483871,0.797077922077922
3,p3,Baseline-Predicted,45,0.7111111111111111,0.4482288828337875,0.5877899877899878
3,p3,Baseline-VADER,45,0.7555555555555555,0.5062179956108266,0.5525740409461339
3,p3,Baseline-RoBERTa,45,0.7555555555555555,0.5600558659217877,0.6187356187356188
3,p3,NP-Think-Predicted,45,0.7333333333333333,0.5009784735812133,0.6640490268539049
3,p3,NP-Think-VADER,45,0.17777777777777778,0.0,0.10062893081761005
3,p3,NP-Think-RoBERTa,45,0.7111111111111111,0.46143617021276595,0.6213564213564213
3,p3,NP-NoThink-Predicted,45,0.7555555555555555,0.5697896749521989,0.7041408048489087
3,p3,NP-NoThink-VADER,45,0.17777777777777778,0.0,0.10062893081761005
3,p3,NP-NoThink-RoBERTa,45,0.7333333333333333,0.5324675324675325,0.6670582211379176
4,p2neg,Baseline-Predicted,41,0.8536585365853658,0.6878172588832487,0.8423076923076923
4,p2neg,Baseline-VADER,41,0.8292682926829268,0.6554621848739496,0.8225108225108224
4,p2neg,Baseline-RoBERTa,41,0.8780487804878049,0.7447073474470736,0.8703352308665402
4,p2neg,NP-Think-Predicted,41,0.9024390243902439,0.7836411609498681,0.8915343915343915
4,p2neg,NP-Think-VADER,41,0.6829268292682927,0.0,0.4057971014492754
4,p2neg,NP-Think-RoBERTa,41,0.9024390243902439,0.7836411609498681,0.8915343915343915
4,p2neg,NP-NoThink-Predicted,41,0.9512195121951219,0.8873626373626373,0.9436813186813187
4,p2neg,NP-NoThink-VADER,41,0.6829268292682927,0.0,0.4057971014492754
4,p2neg,NP-NoThink-RoBERTa,41,0.9512195121951219,0.8873626373626373,0.9436813186813187
4,p2plus,Baseline-Predicted,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,Baseline-VADER,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,Baseline-RoBERTa,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,NP-Think-Predicted,43,0.9069767441860465,0.8093126385809313,0.9044444444444444
4,p2plus,NP-Think-VADER,43,0.6046511627906976,0.0,0.37681159420289856
4,p2plus,NP-Think-RoBERTa,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,NP-NoThink-Predicted,43,0.8837209302325582,0.7639956092206367,0.8814120242691672
4,p2plus,NP-NoThink-VADER,43,0.6046511627906976,0.0,0.37681159420289856
4,p2plus,NP-NoThink-RoBERTa,43,0.8372093023255814,0.6695938529088914,0.833976833976834
4,p3,Baseline-Predicted,34,0.8529411764705882,0.6868421052631579,0.7076923076923077
4,p3,Baseline-VADER,34,0.8529411764705882,0.6628895184135977,0.6036124794745484
4,p3,Baseline-RoBERTa,34,0.8823529411764706,0.77088948787062,0.7368606701940035
4,p3,NP-Think-Predicted,34,0.9117647058823529,0.8269720101781171,0.8714177978883861
4,p3,NP-Think-VADER,34,0.11764705882352941,0.0,0.07017543859649122
4,p3,NP-Think-RoBERTa,34,0.8823529411764706,0.7763157894736842,0.8029304029304031
4,p3,NP-NoThink-Predicted,34,0.9117647058823529,0.8308457711442786,0.8559477124183007
4,p3,NP-NoThink-VADER,34,0.11764705882352941,0.0,0.07017543859649122
4,p3,NP-NoThink-RoBERTa,34,0.8529411764705882,0.7462686567164178,0.7622657952069716
5,p2neg,Baseline-Predicted,28,1.0,1.0,1.0
5,p2neg,Baseline-VADER,28,0.9285714285714286,0.8453038674033149,0.9222222222222223
5,p2neg,Baseline-RoBERTa,28,1.0,1.0,1.0
5,p2neg,NP-Think-Predicted,28,0.9642857142857143,0.9204545454545454,0.9601706970128023
5,p2neg,NP-Think-VADER,28,0.6785714285714286,0.0,0.40425531914893614
5,p2neg,NP-Think-RoBERTa,28,0.9642857142857143,0.9204545454545454,0.9601706970128023
5,p2neg,NP-NoThink-Predicted,28,1.0,1.0,1.0
5,p2neg,NP-NoThink-VADER,28,0.6785714285714286,0.0,0.40425531914893614
5,p2neg,NP-NoThink-RoBERTa,28,1.0,1.0,1.0
5,p2plus,Baseline-Predicted,24,1.0,1.0,1.0
5,p2plus,Baseline-VADER,24,1.0,1.0,1.0
5,p2plus,Baseline-RoBERTa,24,1.0,1.0,1.0
5,p2plus,NP-Think-Predicted,24,1.0,1.0,1.0
5,p2plus,NP-Think-VADER,24,0.625,0.0,0.38461538461538464
5,p2plus,NP-Think-RoBERTa,24,1.0,1.0,1.0
5,p2plus,NP-NoThink-Predicted,24,1.0,1.0,1.0
5,p2plus,NP-NoThink-VADER,24,0.625,0.0,0.38461538461538464
5,p2plus,NP-NoThink-RoBERTa,24,0.9583333333333334,0.9090909090909091,0.9544592030360531
5,p3,Baseline-Predicted,18,1.0,1.0,1.0
5,p3,Baseline-VADER,18,1.0,1.0,1.0
5,p3,Baseline-RoBERTa,18,1.0,1.0,1.0
5,p3,NP-Think-Predicted,18,1.0,1.0,1.0
5,p3,NP-Think-VADER,18,0.0,0.0,0.0
5,p3,NP-Think-RoBERTa,18,1.0,1.0,1.0
5,p3,NP-NoThink-Predicted,18,1.0,1.0,1.0
5,p3,NP-NoThink-VADER,18,0.0,0.0,0.0
5,p3,NP-NoThink-RoBERTa,18,0.9444444444444444,0.9,0.6470588235294118
