annotation_id,persona_id,image_id,predicted_sentiment,caption_topic,just_topic
p04f4ad2a_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,Negative,31,57
p04f4ad2a_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,SlightlyPositive,-1,6
p04f4ad2a_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,SlightlyNegative,-1,14
p04f4ad2a_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,Neutral,74,-1
p04f4ad2a_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,20,70
p04f4ad2a_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,Negative,63,18
p04f4ad2a_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,Negative,6,15
p04f4ad2a_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,SlightlyNegative,7,7
p04f4ad2a_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,Negative,12,-1
p04f4ad2a_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,Neutral,-1,3
p04f4ad2a_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,Positive,56,-1
p04f4ad2a_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,Positive,-1,98
p04f4ad2a_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,Negative,-1,12
p04f4ad2a_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,Negative,-1,82
p04f4ad2a_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,Neutral,108,1
p04f4ad2a_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,SlightlyPositive,41,65
p04f4ad2a_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,Positive,66,3
p04f4ad2a_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,Negative,-1,46
p04f4ad2a_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,Negative,142,2
p04f4ad2a_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,Negative,149,11
p04f4ad2a_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,SlightlyPositive,-1,55
p04f4ad2a_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,Positive,-1,-1
p04f4ad2a_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,Negative,-1,-1
p04f4ad2a_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,Negative,70,-1
p04f4ad2a_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,Negative,5,82
p04f4ad2a_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,Negative,96,12
p04f4ad2a_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,Positive,35,0
p04f4ad2a_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,Positive,-1,39
p04f4ad2a_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,Negative,-1,12
p04f4ad2a_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,102tapSsNubXllWzP7asAW-qwMJApiWt6,Negative,157,12
p04f4ad2a_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,Neutral,-1,9
p04f4ad2a_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,Negative,-1,12
p04f4ad2a_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,Negative,-1,12
p04f4ad2a_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,SlightlyNegative,107,-1
p04f4ad2a_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,Positive,80,16
p04f4ad2a_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,Neutral,78,9
p04f4ad2a_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,Negative,9,67
p04f4ad2a_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,Negative,-1,-1
