dimension,modality,n_images,n_matched_pairs,within_mean,cross_mean,delta,median_diff,ci_lo,ci_hi,n_pos,n_zero,n_abs_ties,w_stat,p_wilcoxon,p_wilcoxon_bh,p_sign,p_sign_bh,rank_biserial,wilcoxon_method,marginal_delta,matched_to_marginal_ratio
gender,caption,50,12,0.9366247285111,0.925380822277747,0.011243906233352969,0.00903141064427787,0.008780103223862344,0.014715694403839272,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0023883807659149,4.707752797969735
gender,justification,50,12,0.8364635271571618,0.7702416066607795,0.06622192049638223,0.06357974843006853,0.060945777273989,0.07260126831201723,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.007290341258049,9.083514495740378
gender,perception,50,12,0.8744962112622826,0.812590209340244,0.061906001922038684,0.053760268869452676,0.04963520213350238,0.077337311802477,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0099036956324305,6.250798108064043
economic_status,caption,50,12,0.9366247285111,0.8986085428325156,0.03801618567858421,0.03299706945763048,0.030534720264979533,0.047331253996771426,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0210874807834625,1.802784603289254
economic_status,justification,50,12,0.8364635271571618,0.5681106023638217,0.26835292479334,0.2708306639587911,0.2500724479437907,0.2861020194366625,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.1014590376615524,2.644938597668481
economic_status,perception,50,12,0.8744962112622828,0.6395652092322643,0.23493100203001838,0.21737901441528995,0.194986526235002,0.2777662859124302,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.1067736189894517,2.2002719796659465
political_spectrum,caption,50,12,0.9366247285111,0.9127621272155565,0.023862601295543316,0.01622986953158917,0.017939789562334447,0.032420944461282956,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0088808023929595,2.686987080633733
political_spectrum,justification,50,12,0.8364635271571618,0.632746899229085,0.2037166279280768,0.2079835480225956,0.1877200256746049,0.22021834669500204,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0561252439022064,3.629679156192821
political_spectrum,perception,50,12,0.8744962112622828,0.6995712355253212,0.17492497573696147,0.14724350826044708,0.14247646978398432,0.21340020375436336,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0650015017873295,2.69109129677153
personality,caption,50,24,0.9366247285111,0.9166825627979733,0.019942165713126587,0.0176408925184513,0.016521289439268356,0.023914270960110298,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0069686138629913,2.8617119710183436
personality,justification,50,24,0.8364635271571618,0.6388246824545952,0.19763884470256657,0.19281973189932927,0.18579102363168987,0.20983307606210122,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.0631556457281112,3.1293931433052475
personality,perception,50,24,0.8744962112622826,0.7333571411375661,0.14113907012471652,0.12429307951355134,0.11694984603137369,0.16592902099256554,50,0,0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.0,exact,0.046888921770902,3.010072844377147
