image_id,mean_sim,std_sim,min_sim,max_sim,n_personas
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94925016,0.052363016,0.8526476,1.0000005,1200
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.9747639,0.071846366,0.50806355,1.0000007,1200
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.8687925,0.0797375,0.6933056,1.000001,1200
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.90056247,0.078883946,0.66617656,1.0000005,1200
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.9027817,0.10499717,0.5576144,1.0000005,1200
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.98809415,0.015796954,0.9358218,1.0000004,1200
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.9455703,0.044906758,0.7059628,1.0000004,1200
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.9654556,0.031077782,0.910319,1.0000002,1200
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.97188497,0.05547488,0.79229885,1.0000006,1200
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.89290905,0.090580806,0.6365873,1.0000008,1200
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.99832666,0.0059521752,0.91457987,1.0000001,1200
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.9699265,0.03252007,0.7786259,1.0000005,1200
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.9268209,0.08023739,0.5771208,1.0000006,1200
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.9644155,0.057889227,0.7376848,1.0000008,1200
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.84870565,0.089209095,0.45613983,1.0000007,1199
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.88742757,0.0778921,0.67773736,1.0000006,1200
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.78283954,0.10957839,0.5650882,1.0000008,1200
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.837768,0.081601195,0.6284934,1.0000007,1200
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.9921266,0.017919905,0.8913251,1.0000005,1200
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.9376054,0.05121005,0.7370411,1.0000005,1200
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.77901244,0.10076489,0.49167317,1.0000008,1200
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.8849311,0.059321944,0.64768744,1.0000006,1200
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.80635285,0.11567063,0.52335644,1.0000005,1200
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.8501753,0.10860516,0.48584703,1.0000006,1200
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.76765263,0.17271964,0.53936327,1.0000005,1200
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.8853121,0.08132074,0.5810177,1.0000008,1200
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.96642673,0.063448876,0.7881534,1.0000004,1200
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.83431923,0.106994055,0.5344226,1.0000006,1200
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.9061013,0.055038378,0.7021246,1.0000006,1200
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.9365975,0.052145623,0.7205934,1.0000005,1200
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.8858466,0.09091487,0.6385923,1.0000006,1200
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.8340299,0.1073826,0.43925643,1.0000006,1200
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.8672917,0.08468616,0.57189876,1.0000008,1200
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.9430937,0.049183838,0.84441215,1.0000008,1200
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.9338492,0.04555549,0.848987,1.0000004,1200
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.9092091,0.08271484,0.75370526,1.0000006,1200
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.866229,0.10312005,0.57756597,1.0000007,1200
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.6993829,0.12953319,0.37439486,1.0000005,1200
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.93213123,0.061548926,0.57207644,1.0000005,1200
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.9594141,0.04079315,0.8984176,1.0000002,1200
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.9615048,0.049632415,0.7053046,1.0000004,1200
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.9875572,0.031732883,0.8595795,1.0000005,1200
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.9406702,0.06624189,0.58667755,1.0000007,1200
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.9858634,0.019177489,0.8706247,1.0000005,1200
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.8601152,0.10492484,0.62227577,1.0000006,1200
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.9200836,0.06098156,0.6393471,1.0000005,1200
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.8874926,0.1076529,0.649574,1.0000005,1200
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.90198183,0.068027265,0.61686385,1.0000005,1200
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.87833196,0.07487827,0.65112627,1.0000007,1200
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.90235054,0.06255512,0.7746468,1.0000008,1200
