image_id,mean_just_sim,std_just_sim,min_just_sim,max_just_sim,n_personas
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.6735922,0.124307476,0.25389308,1.0000007,1200
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.6435975,0.13500768,0.19092159,1.0000006,1200
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.6096374,0.17347214,0.20541586,1.0000007,1200
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.68667006,0.13314085,0.30732185,1.0000007,1200
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.6190744,0.16537534,0.13302112,1.0000008,1200
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.49919665,0.16766512,0.12068093,1.0000008,1200
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.5824439,0.15973099,0.19865094,1.0000007,1200
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.76985717,0.09252264,0.44558358,1.0000008,1200
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.5979089,0.17919624,0.0605443,1.0000006,1200
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.5799011,0.15680717,0.1639644,1.0000008,1200
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.5306024,0.16096276,0.10338797,1.0000007,1200
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.542657,0.18346046,0.09117607,1.0000008,1200
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.6398866,0.13037984,0.19345999,1.0000011,1200
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.525578,0.15792945,0.1556781,1.0000007,1200
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.5410743,0.1686801,0.0028415772,1.0000008,1199
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.65897304,0.1497911,0.16338113,1.0000006,1200
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.55406547,0.14769782,0.13374846,1.0000008,1200
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.6472307,0.14943229,0.11012632,1.0000008,1200
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.582562,0.16050717,0.12515542,1.0000008,1200
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.56061924,0.17097402,0.13015978,1.000001,1200
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.53671694,0.15172155,0.05956285,1.000001,1200
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.55949146,0.1733863,0.13311414,1.0000006,1200
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.57409716,0.17278156,0.08630141,1.0000006,1200
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.7166026,0.11164636,0.32107142,1.000001,1200
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.546676,0.13276453,0.09268985,1.0000008,1200
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.5921484,0.16201639,0.13550863,1.0000008,1200
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.6363909,0.13463259,0.068904355,1.000001,1200
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.5301474,0.1984046,0.099525616,1.0000006,1200
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.6055147,0.14586209,0.250876,1.0000007,1200
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.72621197,0.1263264,0.2959886,1.0000007,1200
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.49423864,0.16951723,0.12450619,1.0000008,1200
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.5284543,0.17221361,0.06552033,1.000001,1200
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.570823,0.17706923,0.12092833,1.0000007,1200
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.5769041,0.15579906,0.19282493,1.000001,1200
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.5977832,0.1869863,0.07506455,1.0000006,1200
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.6200449,0.16858862,0.12920508,1.0000005,1200
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.6430692,0.1320349,0.24674274,1.000001,1200
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.51112944,0.16161026,0.07974542,1.0000007,1200
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.5303472,0.18880567,0.13032511,1.0000008,1200
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.6658117,0.1259972,0.34327412,1.0000005,1200
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.7618451,0.12051675,0.26984796,1.0000006,1200
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.5687598,0.15361689,0.13140051,1.0000007,1200
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.5107025,0.207362,0.056921616,1.0000007,1200
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.730433,0.111813605,0.22074702,1.0000008,1200
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.54348344,0.17340778,0.12807277,1.0000006,1200
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.6754199,0.12732351,0.21928723,1.0000007,1200
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.5235058,0.15368906,0.12888436,1.0000007,1200
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.52928734,0.18070032,0.06230687,1.0000007,1200
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.49195975,0.16442156,0.036389094,1.0000007,1200
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.6527939,0.17117602,0.054387234,1.0000008,1200
