model,display_model,heatmap,figure,metric,row_label,column_label,value
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Natural landscape & beauty,F/High/Cons/Anal,0.20334261838440112
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Work & development,F/High/Cons/Anal,0.13788300835654596
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Accident & police response,F/High/Cons/Anal,0.12256267409470752
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Rural & quiet road,F/High/Cons/Anal,0.1392757660167131
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,F/High/Cons/Anal,0.069637883008356549
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Destruction & conflict,F/High/Cons/Anal,0.069637883008356549
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,F/High/Cons/Anal,0.073816155988857934
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,F/High/Cons/Anal,0.062674094707520889
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,F/High/Cons/Anal,0.057103064066852366
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Typical urban scene,F/High/Cons/Anal,0.064066852367688026
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Natural landscape & beauty,F/High/Cons/Empa,0.21891891891891893
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Work & development,F/High/Cons/Empa,0.13918918918918918
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Accident & police response,F/High/Cons/Empa,0.12432432432432433
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Rural & quiet road,F/High/Cons/Empa,0.13108108108108107
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,F/High/Cons/Empa,0.071621621621621626
