row_persona,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
F/High/Cons/Anal,0.93692570447921752,0.90979194641113281,0.92058640718460083,0.91222429275512695,0.90360021591186523,0.91441917419433594,0.89431625604629517,0.89030694961547852,0.88695889711380005,0.89889734983444214,0.88893836736679077,0.89233481884002686,0.91452866792678833,0.91172254085540771,0.91883093118667603,0.90943032503128052,0.90662956237792969,0.91461598873138428,0.88693702220916748,0.89212334156036377,0.88529008626937866,0.9001733660697937,0.89581906795501709,0.89191240072250366
F/High/Cons/Empa,0.90979194641113281,0.93633631467819212,0.91098219156265259,0.90777748823165894,0.91814643144607544,0.91366845369338989,0.90335434675216675,0.90463882684707642,0.89917188882827759,0.896401047706604,0.90345686674118042,0.90083986520767212,0.89538031816482544,0.92268490791320801,0.90630531311035156,0.90209662914276123,0.91731417179107666,0.90879517793655396,0.89277708530426025,0.90509229898452759,0.89641499519348145,0.90031838417053223,0.90575957298278809,0.90219032764434814
F/High/Cons/Prag,0.92058640718460083,0.91098219156265259,0.93431367278099064,0.89860755205154419,0.89818060398101807,0.90834826231002808,0.90606069564819336,0.90513533353805542,0.90279752016067505,0.90262627601623535,0.8985937237739563,0.90615600347518921,0.9054068922996521,0.91247451305389404,0.92491477727890015,0.89377593994140625,0.89977216720581055,0.90831178426742554,0.89901453256607056,0.90782678127288818,0.90097010135650635,0.90704011917114258,0.90465521812438965,0.90782248973846436
F/High/Prog/Anal,0.91222429275512695,0.90777748823165894,0.89860755205154419,0.93276866912841794,0.91207021474838257,0.91821706295013428,0.88317972421646118,0.88059121370315552,0.87642079591751099,0.89829373359680176,0.89015364646911621,0.88606035709381104,0.90400147438049316,0.91005510091781616,0.89925539493560791,0.92464965581893921,0.91489768028259277,0.91713243722915649,0.87978857755661011,0.88362264633178711,0.87680786848068237,0.90122771263122559,0.89693170785903931,0.88525152206420898
F/High/Prog/Empa,0.90360021591186523,0.91814643144607544,0.89818060398101807,0.91207021474838257,0.93666749238967895,0.91459172964096069,0.88702261447906494,0.88972681760787964,0.88244855403900146,0.89839684963226318,0.90270042419433594,0.89319020509719849,0.88933968544006348,0.91035044193267822,0.89616912603378296,0.90671646595001221,0.92728841304779053,0.91060757637023926,0.88014775514602661,0.8883247971534729,0.8825945258140564,0.90119552612304688,0.90641993284225464,0.89233690500259399
F/High/Prog/Prag,0.91441917419433594,0.91366845369338989,0.90834826231002808,0.91821706295013428,0.91459172964096069,0.93328658938407894,0.89045476913452148,0.89277040958404541,0.8846893310546875,0.90304529666900635,0.89863288402557373,0.89812803268432617,0.90119630098342896,0.91800910234451294,0.90957510471343994,0.91237658262252808,0.91358685493469238,0.92305940389633179,0.88706254959106445,0.89473772048950195,0.88559168577194214,0.90939640998840332,0.90522485971450806,0.89692121744155884
F/Low /Cons/Anal,0.89431625604629517,0.90335434675216675,0.90606069564819336,0.88317972421646118,0.88702261447906494,0.89045476913452148,0.94238833904266361,0.91895121335983276,0.93482369184494019,0.90637063980102539,0.89989167451858521,0.91755557060241699,0.88913428783416748,0.8937983512878418,0.90215814113616943,0.8818250298500061,0.88508826494216919,0.88426375389099121,0.92890459299087524,0.93004226684570312,0.92812573909759521,0.90643507242202759,0.90666693449020386,0.91806977987289429
F/Low /Cons/Empa,0.89030694961547852,0.90463882684707642,0.90513533353805542,0.88059121370315552,0.88972681760787964,0.89277040958404541,0.91895121335983276,0.93533435463905334,0.92085647583007812,0.90767949819564819,0.91508787870407104,0.92529016733169556,0.87972640991210938,0.8994821310043335,0.8980553150177002,0.87648791074752808,0.88621222972869873,0.885231614112854,0.9048197865486145,0.93076539039611816,0.91485017538070679,0.90483087301254272,0.9180564284324646,0.91993749141693115
F/Low /Cons/Prag,0.88695889711380005,0.89917188882827759,0.90279752016067505,0.87642079591751099,0.88244855403900146,0.8846893310546875,0.93482369184494019,0.92085647583007812,0.94597669243812565,0.90015757083892822,0.9004930853843689,0.91640663146972656,0.88147807121276855,0.89163637161254883,0.89612436294555664,0.87398087978363037,0.88164418935775757,0.87744027376174927,0.92102295160293579,0.93095588684082031,0.93082082271575928,0.8992576003074646,0.9063718318939209,0.91651177406311035
F/Low /Prog/Anal,0.89889734983444214,0.896401047706604,0.90262627601623535,0.89829373359680176,0.89839684963226318,0.90304529666900635,0.90637063980102539,0.90767949819564819,0.90015757083892822,0.93469855666160584,0.90982848405838013,0.92340779304504395,0.88980424404144287,0.89559364318847656,0.90100860595703125,0.89431142807006836,0.89033585786819458,0.89948809146881104,0.89950722455978394,0.90498107671737671,0.89894270896911621,0.92431533336639404,0.91492354869842529,0.91583269834518433
F/Low /Prog/Empa,0.88893836736679077,0.90345686674118042,0.8985937237739563,0.89015364646911621,0.90270042419433594,0.89863288402557373,0.89989167451858521,0.91508787870407104,0.9004930853843689,0.90982848405838013,0.93516337752342227,0.91834181547164917,0.87538683414459229,0.90099203586578369,0.89184439182281494,0.88406705856323242,0.8921208381652832,0.89234346151351929,0.88684439659118652,0.91132020950317383,0.89689743518829346,0.9102177619934082,0.92624074220657349,0.91123372316360474
F/Low /Prog/Prag,0.89233481884002686,0.90083986520767212,0.90615600347518921,0.88606035709381104,0.89319020509719849,0.89812803268432617,0.91755557060241699,0.92529016733169556,0.91640663146972656,0.92340779304504395,0.91834181547164917,0.94208926916122437,0.88455766439437866,0.89613014459609985,0.9023507833480835,0.88088440895080566,0.88446253538131714,0.89252996444702148,0.90627694129943848,0.92552846670150757,0.91556191444396973,0.92078131437301636,0.92338430881500244,0.92639786005020142
M/High/Cons/Anal,0.91452866792678833,0.89538031816482544,0.9054068922996521,0.90400147438049316,0.88933968544006348,0.90119630098342896,0.88913428783416748,0.87972640991210938,0.88147807121276855,0.88980424404144287,0.87538683414459229,0.88455766439437866,0.9343433678150177,0.90388888120651245,0.91549265384674072,0.90753090381622314,0.89767509698867798,0.90462410449981689,0.896523118019104,0.88548439741134644,0.88417237997055054,0.89542394876480103,0.88633370399475098,0.88776034116744995
M/High/Cons/Empa,0.91172254085540771,0.92268490791320801,0.91247451305389404,0.91005510091781616,0.91035044193267822,0.91800910234451294,0.8937983512878418,0.8994821310043335,0.89163637161254883,0.89559364318847656,0.90099203586578369,0.89613014459609985,0.90388888120651245,0.93645738124847411,0.91075211763381958,0.90516930818557739,0.91651731729507446,0.91834521293640137,0.89123445749282837,0.89955407381057739,0.88985776901245117,0.90270459651947021,0.90605932474136353,0.8992612361907959
M/High/Cons/Prag,0.91883093118667603,0.90630531311035156,0.92491477727890015,0.89925539493560791,0.89616912603378296,0.90957510471343994,0.90215814113616943,0.8980553150177002,0.89612436294555664,0.90100860595703125,0.89184439182281494,0.9023507833480835,0.91549265384674072,0.91075211763381958,0.9330008327960968,0.89859980344772339,0.89998328685760498,0.91287344694137573,0.90043646097183228,0.89942580461502075,0.89743262529373169,0.90998387336730957,0.90166723728179932,0.90528953075408936
M/High/Prog/Anal,0.90943032503128052,0.90209662914276123,0.89377593994140625,0.92464965581893921,0.90671646595001221,0.91237658262252808,0.8818250298500061,0.87648791074752808,0.87398087978363037,0.89431142807006836,0.88406705856323242,0.88088440895080566,0.90753090381622314,0.90516930818557739,0.89859980344772339,0.93163213729858396,0.9121023416519165,0.91459488868713379,0.88298124074935913,0.87972885370254517,0.87484705448150635,0.89855486154556274,0.89133608341217041,0.88225072622299194
M/High/Prog/Empa,0.90662956237792969,0.91731417179107666,0.89977216720581055,0.91489768028259277,0.92728841304779053,0.91358685493469238,0.88508826494216919,0.88621222972869873,0.88164418935775757,0.89033585786819458,0.8921208381652832,0.88446253538131714,0.89767509698867798,0.91651731729507446,0.89998328685760498,0.9121023416519165,0.93444238424301151,0.91349959373474121,0.88148200511932373,0.88561248779296875,0.88215917348861694,0.89363014698028564,0.89710962772369385,0.89106637239456177
M/High/Prog/Prag,0.91461598873138428,0.90879517793655396,0.90831178426742554,0.91713243722915649,0.91060757637023926,0.92305940389633179,0.88426375389099121,0.885231614112854,0.87744027376174927,0.89948809146881104,0.89234346151351929,0.89252996444702148,0.90462410449981689,0.91834521293640137,0.91287344694137573,0.91459488868713379,0.91349959373474121,0.93683360934257509,0.88433432579040527,0.88519936800003052,0.88169234991073608,0.90854817628860474,0.90243607759475708,0.8932538628578186
M/Low /Cons/Anal,0.88693702220916748,0.89277708530426025,0.89901453256607056,0.87978857755661011,0.88014775514602661,0.88706254959106445,0.92890459299087524,0.9048197865486145,0.92102295160293579,0.89950722455978394,0.88684439659118652,0.90627694129943848,0.896523118019104,0.89123445749282837,0.90043646097183228,0.88298124074935913,0.88148200511932373,0.88433432579040527,0.93861014366149897,0.91894608736038208,0.92136168479919434,0.90708023309707642,0.89711344242095947,0.91051584482192993
M/Low /Cons/Empa,0.89212334156036377,0.90509229898452759,0.90782678127288818,0.88362264633178711,0.8883247971534729,0.89473772048950195,0.93004226684570312,0.93076539039611816,0.93095588684082031,0.90498107671737671,0.91132020950317383,0.92552846670150757,0.88548439741134644,0.89955407381057739,0.89942580461502075,0.87972885370254517,0.88561248779296875,0.88519936800003052,0.91894608736038208,0.94476594209671017,0.92455410957336426,0.90654134750366211,0.91537564992904663,0.91985452175140381
M/Low /Cons/Prag,0.88529008626937866,0.89641499519348145,0.90097010135650635,0.87680786848068237,0.8825945258140564,0.88559168577194214,0.92812573909759521,0.91485017538070679,0.93082082271575928,0.89894270896911621,0.89689743518829346,0.91556191444396973,0.88417237997055054,0.88985776901245117,0.89743262529373169,0.87484705448150635,0.88215917348861694,0.88169234991073608,0.92136168479919434,0.92455410957336426,0.93282069563865666,0.9009203314781189,0.90475171804428101,0.91718447208404541
M/Low /Prog/Anal,0.9001733660697937,0.90031838417053223,0.90704011917114258,0.90122771263122559,0.90119552612304688,0.90939640998840332,0.90643507242202759,0.90483087301254272,0.8992576003074646,0.92431533336639404,0.9102177619934082,0.92078131437301636,0.89542394876480103,0.90270459651947021,0.90998387336730957,0.89855486154556274,0.89363014698028564,0.90854817628860474,0.90708023309707642,0.90654134750366211,0.9009203314781189,0.9370237600803375,0.91692191362380981,0.91615766286849976
M/Low /Prog/Empa,0.89581906795501709,0.90575957298278809,0.90465521812438965,0.89693170785903931,0.90641993284225464,0.90522485971450806,0.90666693449020386,0.9180564284324646,0.9063718318939209,0.91492354869842529,0.92624074220657349,0.92338430881500244,0.88633370399475098,0.90605932474136353,0.90166723728179932,0.89133608341217041,0.89710962772369385,0.90243607759475708,0.89711344242095947,0.91537564992904663,0.90475171804428101,0.91692191362380981,0.93560750246047975,0.91966116428375244
M/Low /Prog/Prag,0.89191240072250366,0.90219032764434814,0.90782248973846436,0.88525152206420898,0.89233690500259399,0.89692121744155884,0.91806977987289429,0.91993749141693115,0.91651177406311035,0.91583269834518433,0.91123372316360474,0.92639786005020142,0.88776034116744995,0.8992612361907959,0.90528953075408936,0.88225072622299194,0.89106637239456177,0.8932538628578186,0.91051584482192993,0.91985452175140381,0.91718447208404541,0.91615766286849976,0.91966116428375244,0.93750802993774418
