row_persona,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
F/High/Cons/Anal,0.88366535795270496,0.70228579365079358,0.80478029206349211,0.71605577142857146,0.62549397460317469,0.73863314285714265,0.65088035555555546,0.64690811111111113,0.59299386349206351,0.63721307619047618,0.62601126984126976,0.62344192380952379,0.81898290573372212,0.72724953333333364,0.79421854920634927,0.7115803365079364,0.63985800952380945,0.74626402539682546,0.63603196825396824,0.65580859047619044,0.60384187619047625,0.66454278412698431,0.62446759365079363,0.62803466031746036
F/High/Cons/Empa,0.70228579365079358,0.8560578879170716,0.68165575555555546,0.6855140349206349,0.71098175873015879,0.69729979682539678,0.60201374285714293,0.62889360317460319,0.57060810793650796,0.57950801269841268,0.60310009206349202,0.5692517301587301,0.67081647567217362,0.78968432380952391,0.65007305396825388,0.67198810793650776,0.73691391428571418,0.69464608571428554,0.57542388888888885,0.60376630793650787,0.5535540253968253,0.57958772380952384,0.60040822539682537,0.56170171428571436
F/High/Cons/Prag,0.80478029206349211,0.68165575555555546,0.87750658892128286,0.65204945396825398,0.58445177142857152,0.68830532063492067,0.66804669841269837,0.65912173333333324,0.6068992666666666,0.63582885396825384,0.61565841587301595,0.65383886984126971,0.77138867249757059,0.69625939365079359,0.8336494095238095,0.65279332380952382,0.60250680952380953,0.70065936190476197,0.63852679365079357,0.6715017968253969,0.61840299365079365,0.65447458095238109,0.60702235873015875,0.65243793015873008
F/High/Prog/Anal,0.71605577142857124,0.6855140349206349,0.65204945396825398,0.88403516682863625,0.74479859682539673,0.79631973015873014,0.58631724761904758,0.6147707873015873,0.54854026349206353,0.66687878412698409,0.66207664761904761,0.59799872380952379,0.72636751836734692,0.71920452063492069,0.64621732380952379,0.84790546666666655,0.75455900634920636,0.78350680317460319,0.57800248253968256,0.60081613015873014,0.53408078412698412,0.66863602539682532,0.66306867301587291,0.59968838412698411
F/High/Prog/Empa,0.62549397460317446,0.71098175873015879,0.58445177142857152,0.74479859682539673,0.86096999028182697,0.71326525396825391,0.53844201269841263,0.5917181936507937,0.50895039365079364,0.6190948444444444,0.6521899238095239,0.56285660000000004,0.6344882830579851,0.70587895238095244,0.56608688571428578,0.71688897777777771,0.83169883174603176,0.69499701587301577,0.53085062539682537,0.56640247936507937,0.49579311111111113,0.62226449841269849,0.65983393650793654,0.55309752063492068
F/High/Prog/Prag,0.73863314285714277,0.69729979682539678,0.68830532063492056,0.79631973015873014,0.71326525396825402,0.86266158730158737,0.59775237460317465,0.61702612698412695,0.55162453650793652,0.65452453968253976,0.64778490158730162,0.61390311746031745,0.72570590249433109,0.7374852031746032,0.67448971111111122,0.77462094603174592,0.72104536825396837,0.81866961269841287,0.5804089396825397,0.60995864126984123,0.53909029206349202,0.64730116190476183,0.6362884412698413,0.60479668571428569
F/Low /Cons/Anal,0.65088035555555568,0.60201374285714293,0.66804669841269837,0.58631724761904758,0.53844201269841263,0.59775237460317465,0.8880626627793976,0.68630340634920628,0.79069027619047616,0.64595207619047612,0.59679980634920637,0.69388221269841255,0.67732647981859406,0.60484518095238105,0.68445554285714283,0.59090556190476196,0.53775534920634926,0.59381718730158728,0.81894677460317467,0.73881539682539699,0.78640462857142845,0.66555609206349198,0.59461583492063486,0.70522274920634931
F/Low /Cons/Empa,0.64690811111111113,0.62889360317460319,0.65912173333333324,0.6147707873015873,0.5917181936507937,0.61702612698412695,0.68630340634920628,0.86891081308713969,0.67055910476190472,0.66473226984126976,0.70384286984126976,0.7134637936507936,0.65650550255911899,0.64624023809523801,0.64154357777777793,0.61911134920634914,0.58430773650793666,0.60675317142857144,0.65412759365079365,0.78861773333333351,0.64067754603174587,0.6535546888888889,0.70623066031746018,0.66821681904761887
F/Low /Cons/Prag,0.59299386349206351,0.57060810793650796,0.6068992666666666,0.54854026349206353,0.50895039365079375,0.55162453650793652,0.79069027619047616,0.67055910476190472,0.90214888241010682,0.60892884126984115,0.56221106031746038,0.68128491746031739,0.61343096864269508,0.56032986984126976,0.60605369841269829,0.55018512698412692,0.50937686984126973,0.54522682539682532,0.72512818412698399,0.70221230476190466,0.79890474603174599,0.60400706984126984,0.56678191746031736,0.68075390793650781
F/Low /Prog/Anal,0.63721307619047618,0.57950801269841268,0.63582885396825384,0.66687878412698409,0.6190948444444444,0.65452453968253976,0.64595207619047623,0.66473226984126976,0.60892884126984126,0.8790542662779397,0.71955783492063474,0.76439696507936505,0.65771136533851648,0.60002128888888895,0.62329750793650784,0.6787059492063493,0.60456121904761906,0.64277639365079364,0.63879921587301591,0.66032525079365068,0.60984550476190469,0.81788133333333335,0.747886292063492,0.73545416507936512
