topic,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
Accident & systemic failure,0.12254901960784313,0.24686192468619247,0.3971631205673759,0.089147286821705432,0.13698630136986301,0.10762331838565023,0.39130434782608697,0,0.37931034482758619,0.28712871287128711,0.0234375,0.21794871794871795,0.070422535211267609,0.19396551724137931,0.20408163265306123,0.096618357487922704,0.095238095238095233,0.03614457831325301,0.27419354838709675,0.039325842696629212,0.10309278350515463,0.34146341463414637,0.028985507246376812,0.62105263157894741
Accident & police response,0.12254901960784313,0.22175732217573221,0.070921985815602842,0.073643410852713184,0.18264840182648401,0.13901345291479822,0.097826086956521743,0.34862385321100919,0.022988505747126436,0.39603960396039606,0.0546875,0.05128205128205128,0.070422535211267609,0.31034482758620691,0.24489795918367346,0.086956521739130432,0.11255411255411256,0.14457831325301204,0.46774193548387094,0.0056179775280898875,0.22680412371134021,0.33333333333333331,0.086956521739130432,0.052631578947368418
Home & peaceful scene,0.23529411764705882,0.096234309623430964,0.26950354609929078,0.058139534883720929,0.22831050228310501,0.11210762331838565,0,0,0,0,0,0,0.176056338028169,0.21551724137931033,0.18367346938775511,0.12077294685990338,0.21645021645021645,0.15060240963855423,0,0,0,0,0,0.094736842105263161
Decay & abandonment,0.12745098039215685,0,0,0.22868217054263565,0.17808219178082191,0.14349775784753363,0,0,0,0,0,0,0.25352112676056338,0,0,0.29951690821256038,0.16017316017316016,0.24698795180722891,0,0,0,0,0,0
Scenic calm & hope,0.058823529411764705,0.054393305439330547,0.063829787234042548,0.062015503875968991,0.1050228310502283,0.049327354260089683,0.16304347826086957,0.01834862385321101,0,0.089108910891089105,0.234375,0.038461538461538464,0.0070422535211267607,0.125,0.34693877551020408,0.0096618357487922701,0.073593073593073599,0.1144578313253012,0.24193548387096775,0.056179775280898875,0.010309278350515464,0.11382113821138211,0.2318840579710145,0
Stark & neutral architecture,0.11764705882352941,0.18828451882845187,0,0.1744186046511628,0.082191780821917804,0.23766816143497757,0,0,0,0.059405940594059403,0.015625,0,0.22535211267605634,0.043103448275862072,0,0.17874396135265699,0.034632034632034632,0.15060240963855423,0,0,0,0.024390243902439025,0,0
Wreckage & fragility,0.053921568627450983,0.025104602510460251,0.0070921985815602835,0.027131782945736434,0,0,0.21739130434782608,0.45871559633027525,0.31034482758620691,0,0.3125,0.4358974358974359,0.084507042253521125,0.017241379310344827,0,0.0096618357487922701,0,0,0.016129032258064516,0.19101123595505617,0.051546391752577317,0,0.36231884057971014,0.031578947368421054
Neglect & disrepair,0,0,0.085106382978723402,0,0,0.0044843049327354259,0.11956521739130435,0.1743119266055046,0.28735632183908044,0.13861386138613863,0,0.12820512820512819,0,0,0.01020408163265306,0,0,0,0,0.6292134831460674,0.60824742268041232,0.04878048780487805,0.036231884057971016,0.16842105263157894
Natural landscape & beauty,0,0.16736401673640167,0,0.050387596899224806,0.068493150684931503,0.040358744394618833,0.010869565217391304,0,0,0.029702970297029702,0.359375,0,0,0.090517241379310345,0,0.004830917874396135,0.21645021645021645,0.09036144578313253,0,0.078651685393258425,0,0.11382113821138211,0.24637681159420291,0
Typical urban scene,0.16176470588235295,0,0.10638297872340426,0.23643410852713179,0.018264840182648401,0.16591928251121077,0,0,0,0,0,0.12820512820512819,0.11267605633802817,0.0043103448275862068,0.01020408163265306,0.19323671497584541,0.090909090909090912,0.066265060240963861,0,0,0,0.024390243902439025,0.007246376811594203,0.031578947368421054
