row_persona,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
F/High/Cons/Anal,0.88709710597991942,0.87671691179275513,0.8815072774887085,0.87210166454315186,0.86568206548690796,0.86906814575195312,0.868755042552948,0.86885946989059448,0.86881810426712036,0.86653292179107666,0.86331856250762939,0.86230325698852539,0.88247942924499512,0.8714529275894165,0.87861043214797974,0.86940199136734009,0.86316597461700439,0.86682355403900146,0.86886268854141235,0.868793785572052,0.86764085292816162,0.86329835653305054,0.86044085025787354,0.86104822158813477
F/High/Cons/Empa,0.87671691179275513,0.89191900372505184,0.88543784618377686,0.87383902072906494,0.87402528524398804,0.8777472972869873,0.87100082635879517,0.87775993347167969,0.87437784671783447,0.86662024259567261,0.87143343687057495,0.86543548107147217,0.8782917857170105,0.88081479072570801,0.88138550519943237,0.87069010734558105,0.86999017000198364,0.87099653482437134,0.87180930376052856,0.87970161437988281,0.86956703662872314,0.86695653200149536,0.86720776557922363,0.86390769481658936
F/High/Cons/Prag,0.8815072774887085,0.88543784618377686,0.8929084420204163,0.87254166603088379,0.87182390689849854,0.87652093172073364,0.87229400873184204,0.87761616706848145,0.87632060050964355,0.86958956718444824,0.87202352285385132,0.86997109651565552,0.87944966554641724,0.87907087802886963,0.88395547866821289,0.86945724487304688,0.86721712350845337,0.87249165773391724,0.87269842624664307,0.8772284984588623,0.87121635675430298,0.86815202236175537,0.86857336759567261,0.86683154106140137
F/High/Prog/Anal,0.87210166454315186,0.87383902072906494,0.87254166603088379,0.88939285397529599,0.87604224681854248,0.87958288192749023,0.85906338691711426,0.86251229047775269,0.86076635122299194,0.87041008472442627,0.86750274896621704,0.86484956741333008,0.87721723318099976,0.8718719482421875,0.87614959478378296,0.88324445486068726,0.87212347984313965,0.87498003244400024,0.86222958564758301,0.86372262239456177,0.85937047004699707,0.86845666170120239,0.86706262826919556,0.86539244651794434
F/High/Prog/Empa,0.86568206548690796,0.87402528524398804,0.87182390689849854,0.87604224681854248,0.89388522267341619,0.8852992057800293,0.85894149541854858,0.8663896918296814,0.86367779970169067,0.86695992946624756,0.87036323547363281,0.86525017023086548,0.86958277225494385,0.8818819522857666,0.8673444390296936,0.8791344165802002,0.88240820169448853,0.88257867097854614,0.86152559518814087,0.86840194463729858,0.86100959777832031,0.86756575107574463,0.87492454051971436,0.86444580554962158
F/High/Prog/Prag,0.86906814575195312,0.8777472972869873,0.87652093172073364,0.87958288192749023,0.8852992057800293,0.89225651979446408,0.85863804817199707,0.86576545238494873,0.86273199319839478,0.86749649047851562,0.86811172962188721,0.86442536115646362,0.87403702735900879,0.88298368453979492,0.87484067678451538,0.88243621587753296,0.88400185108184814,0.88812333345413208,0.86140733957290649,0.86721199750900269,0.86061233282089233,0.86771309375762939,0.87120974063873291,0.86362236738204956
F/Low /Cons/Anal,0.868755042552948,0.87100082635879517,0.87229400873184204,0.85906338691711426,0.85894149541854858,0.85863804817199707,0.89151652336120601,0.8852161169052124,0.88909316062927246,0.87629246711730957,0.87535512447357178,0.87724947929382324,0.86516273021697998,0.86473625898361206,0.8687700629234314,0.85458546876907349,0.8531072735786438,0.85535448789596558,0.88556623458862305,0.88252198696136475,0.88216173648834229,0.87542307376861572,0.86917096376419067,0.87409079074859619
F/Low /Cons/Empa,0.86885946989059448,0.87775993347167969,0.87761616706848145,0.86251229047775269,0.8663896918296814,0.86576545238494873,0.8852161169052124,0.89656235933303829,0.89029824733734131,0.8754810094833374,0.88304167985916138,0.88085383176803589,0.86656218767166138,0.87150740623474121,0.87337374687194824,0.8589789867401123,0.85902482271194458,0.86149841547012329,0.88305145502090454,0.89045435190200806,0.88250595331192017,0.87624436616897583,0.87690412998199463,0.87564772367477417
F/Low /Cons/Prag,0.86881810426712036,0.87437784671783447,0.87632060050964355,0.86076635122299194,0.86367779970169067,0.86273199319839478,0.88909316062927246,0.89029824733734131,0.89750441551208493,0.87831681966781616,0.88177728652954102,0.88265615701675415,0.86598831415176392,0.86873209476470947,0.87197905778884888,0.85654503107070923,0.85785692930221558,0.85975974798202515,0.88931876420974731,0.88838255405426025,0.88965052366256714,0.87849694490432739,0.87507295608520508,0.87930947542190552
F/Low /Prog/Anal,0.86653292179107666,0.86662024259567261,0.86958956718444824,0.87041008472442627,0.86695992946624756,0.86749649047851562,0.87629246711730957,0.8754810094833374,0.87831681966781616,0.89127112507820128,0.88161522150039673,0.88562202453613281,0.86856400966644287,0.86398035287857056,0.86952811479568481,0.86649614572525024,0.86370283365249634,0.8661077618598938,0.87859475612640381,0.87517279386520386,0.87454253435134888,0.88719069957733154,0.87883466482162476,0.88392305374145508
