row_persona,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
F/High/Cons/Anal,0.65662582635879518,0.60654753446578979,0.61971229314804077,0.60025125741958618,0.56570833921432495,0.60259872674942017,0.57312262058258057,0.52334576845169067,0.48999020457267761,0.52739405632019043,0.51715540885925293,0.51501607894897461,0.64567255973815918,0.61423379182815552,0.61411702632904053,0.59737753868103027,0.57117551565170288,0.60143285989761353,0.56376123428344727,0.524871826171875,0.47529929876327515,0.52875959873199463,0.52225208282470703,0.51347124576568604
F/High/Cons/Empa,0.60654753446578979,0.67206444323062897,0.58795440196990967,0.61097127199172974,0.62198102474212646,0.61159664392471313,0.56014657020568848,0.57127642631530762,0.49493786692619324,0.53795790672302246,0.56172609329223633,0.53050440549850464,0.59358906745910645,0.65480780601501465,0.57308405637741089,0.60659307241439819,0.62086659669876099,0.60532468557357788,0.54176527261734009,0.56763380765914917,0.46954235434532166,0.53964650630950928,0.55931234359741211,0.52396112680435181
F/High/Cons/Prag,0.61971229314804077,0.58795440196990967,0.63775153756141667,0.56493812799453735,0.53967642784118652,0.57905536890029907,0.58045822381973267,0.52608799934387207,0.51361203193664551,0.51659566164016724,0.51482206583023071,0.52177435159683228,0.61730116605758667,0.59155327081680298,0.62386792898178101,0.56098341941833496,0.54630786180496216,0.57890719175338745,0.56784147024154663,0.52958768606185913,0.50208890438079834,0.51675951480865479,0.51896768808364868,0.51954305171966553
F/High/Prog/Anal,0.60025125741958618,0.61097127199172974,0.56493812799453735,0.69972904443740847,0.65891188383102417,0.67511224746704102,0.53617078065872192,0.53532135486602783,0.47320285439491272,0.58022284507751465,0.57488358020782471,0.54869246482849121,0.59614753723144531,0.62167716026306152,0.56464040279388428,0.69024133682250977,0.6667783260345459,0.67008376121520996,0.5273662805557251,0.53374725580215454,0.45162773132324219,0.58334362506866455,0.57733780145645142,0.54349684715270996
F/High/Prog/Empa,0.56570833921432495,0.62198102474212646,0.53967642784118652,0.65891188383102417,0.70097896933555603,0.64618879556655884,0.51648300886154175,0.55232536792755127,0.46202155947685242,0.56183254718780518,0.59087675809860229,0.53850919008255005,0.56053656339645386,0.62518507242202759,0.53476256132125854,0.65195852518081665,0.69102019071578979,0.63618481159210205,0.50323081016540527,0.54610782861709595,0.43630200624465942,0.56251955032348633,0.58518391847610474,0.53086566925048828
F/High/Prog/Prag,0.60259872674942017,0.61159664392471313,0.57905536890029907,0.67511224746704102,0.64618879556655884,0.68668745040893553,0.54577517509460449,0.54214304685592651,0.48909634351730347,0.57248735427856445,0.57230556011199951,0.55660486221313477,0.5991973876953125,0.62410205602645874,0.5799744725227356,0.67315840721130371,0.65414679050445557,0.67900568246841431,0.53722852468490601,0.54045581817626953,0.46758130192756653,0.57508379220962524,0.57461637258529663,0.55114614963531494
F/Low /Cons/Anal,0.57312262058258057,0.56014657020568848,0.58045822381973267,0.53617078065872192,0.51648300886154175,0.54577517509460449,0.61928994774818424,0.56782317161560059,0.55952531099319458,0.54734402894973755,0.54366153478622437,0.55877840518951416,0.56925475597381592,0.55937260389328003,0.57577419281005859,0.53206640481948853,0.5237964391708374,0.54509276151657104,0.60672664642333984,0.56908655166625977,0.54672372341156006,0.54738402366638184,0.54673105478286743,0.55842441320419312
F/Low /Cons/Empa,0.52334576845169067,0.57127642631530762,0.52608799934387207,0.53532135486602783,0.55232536792755127,0.54214304685592651,0.56782317161560059,0.63531680464744567,0.54784774780273438,0.545876145362854,0.5874972939491272,0.57042527198791504,0.51656538248062134,0.56178158521652222,0.51962804794311523,0.53140133619308472,0.55042201280593872,0.53684878349304199,0.55299264192581177,0.61739510297775269,0.51799750328063965,0.54680180549621582,0.58000248670578003,0.5623164176940918
F/Low /Cons/Prag,0.48999020457267761,0.49493786692619324,0.51361203193664551,0.47320285439491272,0.46202155947685242,0.48909634351730347,0.55952531099319458,0.54784774780273438,0.59672196924686427,0.49386274814605713,0.50629240274429321,0.53491407632827759,0.48762074112892151,0.48957964777946472,0.51113861799240112,0.47058197855949402,0.46766772866249084,0.48823040723800659,0.55502843856811523,0.54259103536605835,0.58030432462692261,0.49514949321746826,0.50754237174987793,0.53372788429260254
F/Low /Prog/Anal,0.52739405632019043,0.53795790672302246,0.51659566164016724,0.58022284507751465,0.56183254718780518,0.57248735427856445,0.54734402894973755,0.545876145362854,0.49386274814605713,0.68612247586250308,0.64478462934494019,0.63223153352737427,0.52682077884674072,0.53985685110092163,0.5164341926574707,0.56964486837387085,0.5723496675491333,0.56390196084976196,0.55034011602401733,0.54490381479263306,0.48125568032264709,0.67606687545776367,0.65011757612228394,0.62457937002182007
