topic,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
Natural landscape & beauty,0.20334261838440112,0.21891891891891893,0.20607661822985468,0.2225475841874085,0.2361111111111111,0.21693907875185736,0.17397454031117399,0.16180758017492711,0.10810810810810811,0.18496240601503761,0.23144104803493451,0.18768768768768768,0.17534246575342466,0.19464033850493653,0.18792866941015088,0.20184899845916796,0.26255380200860834,0.20605187319884727,0.1643059490084986,0.17216642754662842,0.088952654232424683,0.19111111111111112,0.21625544267053701,0.1782477341389728
Work & development,0.13788300835654596,0.13918918918918918,0.12945838837516513,0.14494875549048317,0.1388888888888889,0.14115898959881129,0.12871287128712872,0.1457725947521866,0.13798008534850639,0.14887218045112782,0.14556040756914118,0.14864864864864866,0.13561643835616438,0.14245416078984485,0.13031550068587106,0.15408320493066255,0.13773314203730272,0.14265129682997119,0.13456090651558072,0.14203730272596843,0.15351506456241032,0.14518518518518519,0.13933236574746008,0.1555891238670695
Accident & police response,0.12256267409470752,0.12432432432432433,0.12945838837516513,0.12152269399707175,0.11805555555555555,0.10995542347696879,0.13578500707213578,0.1457725947521866,0.14509246088193456,0.13984962406015036,0.14556040756914118,0.14564564564564564,0.12602739726027398,0.11706629055007052,0.12894375857338819,0.1140215716486903,0.10329985652797705,0.10230547550432277,0.14305949008498584,0.14347202295552366,0.14203730272596843,0.12888888888888889,0.13207547169811321,0.14350453172205438
Rural & quiet road,0.1392757660167131,0.13108108108108107,0.13210039630118892,0.083455344070278187,0.13055555555555556,0.10401188707280833,0.13861386138613863,0.13848396501457727,0.14366998577524892,0.12330827067669173,0.11353711790393013,0.11861861861861862,0.13561643835616438,0.14386459802538787,0.13305898491083676,0.077041602465331274,0.091822094691535155,0.1138328530259366,0.14305949008498584,0.13773314203730272,0.13629842180774748,0.13185185185185186,0.12336719883889695,0.13444108761329304
Historical & preserved,0.069637883008356549,0.071621621621621626,0.066050198150594458,0.07320644216691069,0.070833333333333331,0.074294205052005943,0.070721357850070721,0.072886297376093298,0.071123755334281655,0.072180451127819553,0.068413391557496359,0.075075075075075076,0.069863013698630141,0.070521861777150918,0.069958847736625515,0.077041602465331274,0.073170731707317069,0.072046109510086456,0.070821529745042494,0.071736011477761832,0.070301291248206596,0.072592592592592597,0.072568940493468792,0.074018126888217517
Destruction & conflict,0.069637883008356549,0.067567567567567571,0.066050198150594458,0.071742313323572476,0.069444444444444448,0.074294205052005943,0.070721357850070721,0.071428571428571425,0.066856330014224752,0.078195488721804512,0.075691411935953426,0.075075075075075076,0.06575342465753424,0.070521861777150918,0.069958847736625515,0.077041602465331274,0.071736011477761832,0.072046109510086456,0.070821529745042494,0.071736011477761832,0.063127690100430414,0.07407407407407407,0.071117561683599423,0.072507552870090641
Streets & orderly urban,0.073816155988857934,0.071621621621621626,0.071334214002642005,0.07320644216691069,0.058333333333333334,0.068350668647845461,0.089108910891089105,0.077259475218658891,0.054054054054054057,0.075187969924812026,0.07132459970887918,0.042042042042042045,0.075342465753424653,0.067700987306064886,0.075445816186556922,0.077041602465331274,0.070301291248206596,0.072046109510086456,0.080736543909348438,0.078909612625538014,0.071736011477761832,0.06222222222222222,0.074020319303338175,0.055891238670694864
City & nature,0.062674094707520889,0.063513513513513517,0.066050198150594458,0.074670571010248904,0.063888888888888884,0.071322436849925702,0.067892503536067891,0.064139941690962099,0.066856330014224752,0.072180451127819553,0.064046579330422126,0.063063063063063057,0.069863013698630141,0.066290550070521856,0.06584362139917696,0.078582434514637908,0.074605451936872305,0.07060518731988473,0.062322946175637391,0.067431850789096123,0.067431850789096123,0.077037037037037043,0.068214804063860671,0.070996978851963752
Home & peaceful scene,0.057103064066852366,0.06621621621621622,0.047556142668428003,0.070278184480234263,0.063888888888888884,0.074294205052005943,0.066478076379066484,0.069970845481049565,0.065433854907539113,0.073684210526315783,0.065502183406113537,0.064564564564564567,0.064383561643835616,0.06488011283497884,0.068587105624142664,0.075500770416024654,0.070301291248206596,0.07060518731988473,0.063739376770538245,0.063127690100430414,0.065997130559540887,0.072592592592592597,0.062409288824383166,0.058912386706948643
Typical urban scene,0.064066852367688026,0.045945945945945948,0.085865257595772793,0.064421669106881407,0.050000000000000003,0.065378900445765234,0.057991513437057989,0.052478134110787174,0.14082503556187767,0.031578947368421054,0.018922852983988356,0.079579579579579576,0.082191780821917804,0.062059238363892807,0.069958847736625515,0.067796610169491525,0.044476327116212341,0.077809798270893377,0.066572237960339939,0.051649928263988523,0.14060258249641319,0.044444444444444446,0.040638606676342524,0.055891238670694864
