sigma,p_type,approach,n_images,accuracy,kappa,f1_macro
3,p2neg,Predicted,50,0.82,0.6153846153846154,0.8069498069498069
3,p2neg,VADER,50,0.8,0.6,0.7947454844006567
3,p2neg,RoBERTa,50,0.84,0.6715927750410509,0.8333333333333334
3,p2plus,Predicted,50,0.8,0.5967741935483871,0.797077922077922
3,p2plus,VADER,50,0.82,0.64,0.8181818181818181
3,p2plus,RoBERTa,50,0.8,0.5967741935483871,0.797077922077922
3,p3,Predicted,45,0.7111111111111111,0.4482288828337875,0.5877899877899878
3,p3,VADER,45,0.7555555555555555,0.5062179956108266,0.5525740409461339
3,p3,RoBERTa,45,0.7555555555555555,0.5600558659217877,0.6187356187356188
4,p2neg,Predicted,41,0.8536585365853658,0.6878172588832487,0.8423076923076923
4,p2neg,VADER,41,0.8292682926829268,0.6554621848739496,0.8225108225108224
4,p2neg,RoBERTa,41,0.8780487804878049,0.7447073474470736,0.8703352308665402
4,p2plus,Predicted,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,VADER,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p2plus,RoBERTa,43,0.8604651162790697,0.7195652173913043,0.8585526315789473
4,p3,Predicted,34,0.8529411764705882,0.6868421052631579,0.7076923076923077
4,p3,VADER,34,0.8529411764705882,0.6628895184135977,0.6036124794745484
4,p3,RoBERTa,34,0.8823529411764706,0.77088948787062,0.7368606701940035
5,p2neg,Predicted,28,1.0,1.0,1.0
5,p2neg,VADER,28,0.9285714285714286,0.8453038674033149,0.9222222222222223
5,p2neg,RoBERTa,28,1.0,1.0,1.0
5,p2plus,Predicted,24,1.0,1.0,1.0
5,p2plus,VADER,24,1.0,1.0,1.0
5,p2plus,RoBERTa,24,1.0,1.0,1.0
5,p3,Predicted,18,1.0,1.0,1.0
5,p3,VADER,18,1.0,1.0,1.0
5,p3,RoBERTa,18,1.0,1.0,1.0
