image_id,mean_sim,std_sim,min_sim,max_sim,n_personas
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9447875,0.062141966,0.088831805,1.0000006,1200
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.7343374,0.118839495,-0.021664027,1.0000006,1200
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.83084846,0.08810171,0.31930235,1.0000008,1200
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.83590317,0.114348434,0.053536437,1.0000007,1200
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.9064896,0.07441168,0.0075293137,1.0000007,1200
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.88037556,0.07493369,0.05313704,1.0000007,1200
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.9271485,0.058151286,0.07851469,1.0000006,1200
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.9725184,0.061437782,0.053655196,1.0000005,1199
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.9261584,0.06978504,0.054027908,1.0000007,1200
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.91936094,0.11657611,0.033046372,1.0000006,1200
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.7772641,0.09510375,0.18147722,1.000001,1195
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.85339403,0.08375816,0.4700551,1.0000008,1200
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.9216668,0.0743602,0.3238005,1.0000007,1179
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.847977,0.114816315,-0.0071659805,1.0000005,1200
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.85485446,0.085286506,0.14129575,1.0000007,1197
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.82043695,0.10687044,0.054525934,1.0000008,1199
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.8544904,0.06269864,0.5296124,1.0000008,1200
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.9573685,0.060586255,0.07347143,1.0000006,1200
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.91869074,0.06953978,0.17965175,1.0000006,1200
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.7430799,0.16144636,0.06329009,1.0000008,1200
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.8701652,0.09401153,0.07648656,1.0000006,1200
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.7506849,0.09099812,0.024641648,1.0000007,1197
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.94961226,0.066139676,0.22689784,1.0000005,1200
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.96445143,0.08340179,0.05454185,1.0000005,1200
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.9087538,0.06381819,0.1652277,1.0000008,1200
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.92985266,0.08582457,0.010021831,1.0000005,1200
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.8957564,0.069808066,0.009297457,1.0000007,1200
