image_id,dimension,modality,within_mean,cross_mean
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,caption,0.9328011274337769,
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,justification,0.7979406118392944,
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,perception,0.8316498316498318,
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,caption,1.0,0.866946280002594
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,justification,0.9999998211860657,0.5999226570129395
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,perception,1.0,0.6666666666666667
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,caption,0.9328011274337769,
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,justification,0.7979406118392944,
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,perception,0.8316498316498318,
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,caption,0.9328011274337769,
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,justification,0.7979406118392944,
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,perception,0.8316498316498318,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,caption,1.0000008344650269,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,justification,0.7696071267127991,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,perception,1.0,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,caption,1.0000008344650269,1.0000008344650269
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,justification,1.000000238418579,0.5438217520713806
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,perception,1.0,1.0
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,caption,1.0000008344650269,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,justification,0.7696071267127991,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,perception,1.0,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,caption,1.0000008344650269,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,justification,0.7696071267127991,
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,perception,1.0,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,caption,1.0000008344650269,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,justification,0.8463811874389648,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,perception,0.8316498316498318,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,caption,1.0000008344650269,1.0000008344650269
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,justification,1.000000238418579,0.6958346366882324
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,perception,1.0,0.6666666666666667
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,caption,1.0000008344650269,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,justification,0.8463811874389648,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,perception,0.8316498316498318,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,caption,1.0000008344650269,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,justification,0.8463811874389648,
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,perception,0.8316498316498318,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,caption,1.0000001192092896,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,justification,0.8124865889549255,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,perception,1.0,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,caption,1.0000001192092896,1.0000001192092896
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,justification,1.0000001192092896,0.6287233233451843
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,perception,1.0,1.0
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,caption,1.0000001192092896,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,justification,0.8124865889549255,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,perception,1.0,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,caption,1.0000001192092896,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,justification,0.8124865889549255,
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,perception,1.0,
