sigma,p_type,condition,n,f1_macro,kappa
3,p2neg,Baseline-Predicted,50,0.8069498069498069,0.6153846153846154
3,p2neg,Baseline-VADER,50,0.7947454844006567,0.6
3,p2neg,Baseline-RoBERTa,50,0.8333333333333334,0.6715927750410509
3,p2neg,NP-Think-Predicted,50,0.8417005879692447,0.6835443037974684
3,p2neg,NP-Think-VADER,50,0.8021978021978022,0.6045694200351495
3,p2neg,NP-Think-RoBERTa,50,0.8417005879692447,0.6835443037974684
3,p2neg,NP-NoThink-Predicted,50,0.8831229546517064,0.7672253258845437
3,p2neg,NP-NoThink-VADER,50,0.8263888888888888,0.6533795493934142
3,p2neg,NP-NoThink-RoBERTa,50,0.8831229546517064,0.7672253258845437
3,p2plus,Baseline-Predicted,50,0.797077922077922,0.5967741935483871
3,p2plus,Baseline-VADER,50,0.8181818181818181,0.64
3,p2plus,Baseline-RoBERTa,50,0.797077922077922,0.5967741935483871
3,p2plus,NP-Think-Predicted,50,0.8357963875205254,0.6721311475409836
3,p2plus,NP-Think-VADER,50,0.72,0.46153846153846156
3,p2plus,NP-Think-RoBERTa,50,0.797077922077922,0.5967741935483871
3,p2plus,NP-NoThink-Predicted,50,0.8164014687882497,0.6341463414634146
3,p2plus,NP-NoThink-VADER,50,0.72,0.46153846153846156
3,p2plus,NP-NoThink-RoBERTa,50,0.797077922077922,0.5967741935483871
3,p3,Baseline-Predicted,45,0.5877899877899878,0.4482288828337875
3,p3,Baseline-VADER,45,0.5525740409461339,0.5062179956108266
3,p3,Baseline-RoBERTa,45,0.6187356187356188,0.5600558659217877
3,p3,NP-Think-Predicted,45,0.6640490268539049,0.5009784735812133
3,p3,NP-Think-VADER,45,0.5846120782290994,0.5033112582781456
3,p3,NP-Think-RoBERTa,45,0.6213564213564213,0.46143617021276595
3,p3,NP-NoThink-Predicted,45,0.7041408048489087,0.5697896749521989
3,p3,NP-NoThink-VADER,45,0.5275362318840581,0.4674556213017751
3,p3,NP-NoThink-RoBERTa,45,0.6670582211379176,0.5324675324675325
4,p2neg,Baseline-Predicted,41,0.8423076923076923,0.6878172588832487
4,p2neg,Baseline-VADER,41,0.8225108225108224,0.6554621848739496
4,p2neg,Baseline-RoBERTa,41,0.8703352308665402,0.7447073474470736
4,p2neg,NP-Think-Predicted,41,0.8915343915343915,0.7836411609498681
4,p2neg,NP-Think-VADER,41,0.8423076923076923,0.6878172588832487
4,p2neg,NP-Think-RoBERTa,41,0.8915343915343915,0.7836411609498681
4,p2neg,NP-NoThink-Predicted,41,0.9436813186813187,0.8873626373626373
4,p2neg,NP-NoThink-VADER,41,0.8423076923076923,0.6878172588832487
4,p2neg,NP-NoThink-RoBERTa,41,0.9436813186813187,0.8873626373626373
4,p2plus,Baseline-Predicted,43,0.8585526315789473,0.7195652173913043
4,p2plus,Baseline-VADER,43,0.8585526315789473,0.7195652173913043
4,p2plus,Baseline-RoBERTa,43,0.8585526315789473,0.7195652173913043
4,p2plus,NP-Think-Predicted,43,0.9044444444444444,0.8093126385809313
4,p2plus,NP-Think-VADER,43,0.7441860465116279,0.5098445595854921
4,p2plus,NP-Think-RoBERTa,43,0.8585526315789473,0.7195652173913043
4,p2plus,NP-NoThink-Predicted,43,0.8814120242691672,0.7639956092206367
4,p2plus,NP-NoThink-VADER,43,0.7673160173160173,0.5502092050209205
4,p2plus,NP-NoThink-RoBERTa,43,0.833976833976834,0.6695938529088914
4,p3,Baseline-Predicted,34,0.7076923076923077,0.6868421052631579
4,p3,Baseline-VADER,34,0.6036124794745484,0.6628895184135977
4,p3,Baseline-RoBERTa,34,0.7368606701940035,0.77088948787062
4,p3,NP-Think-Predicted,34,0.8714177978883861,0.8269720101781171
4,p3,NP-Think-VADER,34,0.7293139293139292,0.7598870056497176
4,p3,NP-Think-RoBERTa,34,0.8029304029304031,0.7763157894736842
4,p3,NP-NoThink-Predicted,34,0.8559477124183007,0.8308457711442786
4,p3,NP-NoThink-VADER,34,0.5845845845845846,0.6550724637681159
4,p3,NP-NoThink-RoBERTa,34,0.7622657952069716,0.7462686567164178
5,p2neg,Baseline-Predicted,28,1.0,1.0
5,p2neg,Baseline-VADER,28,0.9222222222222223,0.8453038674033149
5,p2neg,Baseline-RoBERTa,28,1.0,1.0
5,p2neg,NP-Think-Predicted,28,0.9601706970128023,0.9204545454545454
5,p2neg,NP-Think-VADER,28,0.9601706970128023,0.9204545454545454
5,p2neg,NP-Think-RoBERTa,28,0.9601706970128023,0.9204545454545454
5,p2neg,NP-NoThink-Predicted,28,1.0,1.0
5,p2neg,NP-NoThink-VADER,28,0.9222222222222223,0.8453038674033149
5,p2neg,NP-NoThink-RoBERTa,28,1.0,1.0
5,p2plus,Baseline-Predicted,24,1.0,1.0
5,p2plus,Baseline-VADER,24,1.0,1.0
5,p2plus,Baseline-RoBERTa,24,1.0,1.0
5,p2plus,NP-Think-Predicted,24,1.0,1.0
5,p2plus,NP-Think-VADER,24,0.9142857142857144,0.8297872340425532
5,p2plus,NP-Think-RoBERTa,24,1.0,1.0
5,p2plus,NP-NoThink-Predicted,24,1.0,1.0
5,p2plus,NP-NoThink-VADER,24,0.873015873015873,0.75
5,p2plus,NP-NoThink-RoBERTa,24,0.9544592030360531,0.9090909090909091
5,p3,Baseline-Predicted,18,1.0,1.0
5,p3,Baseline-VADER,18,1.0,1.0
5,p3,Baseline-RoBERTa,18,1.0,1.0
5,p3,NP-Think-Predicted,18,1.0,1.0
5,p3,NP-Think-VADER,18,1.0,1.0
5,p3,NP-Think-RoBERTa,18,1.0,1.0
5,p3,NP-NoThink-Predicted,18,1.0,1.0
5,p3,NP-NoThink-VADER,18,1.0,1.0
5,p3,NP-NoThink-RoBERTa,18,0.6470588235294118,0.9
