image_id,caption_sim,n_personas,sentiment_agreement,majority_sentiment,label_jaccard,just_sim
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9447875,1200,0.9983333333333333,Negative,0.6715264108979705,0.58739233
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.7343374,1200,0.6324256324715041,Negative,0.3348559116724254,0.4871788
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.83084846,1200,0.8120266889074228,Positive,0.30956816582160623,0.62423545
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.83590317,1200,1.0,Negative,0.5873776168191306,0.5397653
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.9064896,1200,0.9983333333333333,Negative,0.561419614449431,0.54786605
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.88037556,1200,0.4338865721434529,Positive,0.3700979983319433,0.527821
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.9271485,1200,0.38113288851820964,Neutral,0.26763051109610747,0.48178917
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.9725184,1199,0.9883820824532408,Negative,0.47925771012107565,0.5553996
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.9261584,1200,1.0,Negative,0.47141101270459074,0.5644634
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.91936094,1200,1.0,Negative,0.562858852284311,0.5461494
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.7772641,1195,0.968535845195293,Negative,0.531645769526386,0.6151306
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.85339403,1200,0.31630247428412567,Positive,0.4653350940598647,0.56469226
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.9216668,1179,0.9502815974517267,Positive,0.5160325332469865,0.6571848
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.847977,1200,0.4861731998887962,SlightlyNegative,0.5715757575757575,0.5945239
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.85485446,1197,0.6676306149990361,Positive,0.3154467753056616,0.51022136
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.82043695,1199,0.5079706098989002,Negative,0.2922465646803611,0.46896437
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.8544904,1200,0.31941618015012513,Neutral,0.14072999655797822,0.53136367
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.9573685,1200,0.9867445093133167,Negative,0.3876319000401569,0.5538586
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.91869074,1200,0.9851000834028357,Positive,0.43000927194619853,0.6258365
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.7430799,1200,0.8378037253266611,Positive,0.3575367380665546,0.5099449
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.8701652,1200,0.9818195718654434,Negative,0.6930582628380794,0.56292135
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.7506849,1197,0.3669793212127308,SlightlyNegative,0.1982988906411593,0.41923824
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.94961226,1200,1.0,Negative,0.6250648688722084,0.55625206
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.96445143,1200,0.5494592716152349,Negative,0.4216334831495382,0.5990289
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.9087538,1200,1.0,Negative,0.8089511630062088,0.63187087
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.92985266,1200,0.9983333333333333,Negative,0.27747729589472714,0.62392616
