image_id,mean_just_sim,std_just_sim,min_just_sim,max_just_sim,n_personas
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.58739233,0.12606122,-0.029783692,1.0000006,1200
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.4871788,0.14677563,-0.035706732,1.0000006,1200
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.62423545,0.116041034,-0.0071168886,1.0000008,1200
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.5397653,0.13529804,-0.015862035,1.0000006,1200
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.54786605,0.14481758,-0.03283827,1.0000005,1200
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.527821,0.16223378,-0.037380524,1.0000006,1200
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.48178917,0.20806016,-0.023518834,1.0000008,1200
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.5553996,0.23858549,-0.018069265,1.0000006,1199
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.5644634,0.11803496,-0.038706787,1.0000006,1200
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.5461494,0.12883958,-0.037441712,1.0000008,1200
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.6151306,0.14727725,0.0027194803,1.0000005,1195
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.56469226,0.21815594,-0.10885339,1.0000006,1200
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.6571848,0.16724779,-0.03583188,1.000001,1179
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.5945239,0.15818532,0.013346704,1.0000007,1200
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.51022136,0.1509755,-0.026097981,1.0000005,1197
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.46896437,0.185703,-0.102404006,1.0000006,1199
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.53136367,0.15155831,-0.09012144,1.0000004,1200
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.5538586,0.1213298,-0.05219834,1.0000005,1200
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.6258365,0.14723727,-0.06377601,1.0000006,1200
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.5099449,0.15279283,-0.053133033,1.000001,1200
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.56292135,0.1264432,-0.03072397,1.0000006,1200
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.41923824,0.16767739,-0.100209236,1.0000002,1197
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.55625206,0.12943916,-0.03301878,1.0000006,1200
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.5990289,0.1655533,-0.034546938,1.0000004,1200
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.63187087,0.1209457,-0.028680472,1.0000006,1200
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.62392616,0.12186251,0.008658749,1.0000006,1200
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.58429897,0.1487376,0.033727534,1.0000006,1200
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.6144562,0.16126901,-0.040722307,1.0000008,1200
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.5123111,0.15476249,-0.016885519,1.0000007,1200
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.5295996,0.1365083,-0.019844547,1.0000007,1199
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.5135604,0.16097692,-0.02582958,1.0000007,1199
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.52976376,0.15297033,-0.025658712,1.0000005,1199
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.52555573,0.13764252,-0.019704118,1.0000006,1200
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.57896286,0.13484758,-0.015481932,1.0000006,1015
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.5436229,0.15499404,-0.053625006,1.0000006,1200
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.5051752,0.13887459,0.0061982386,1.0000006,1195
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.61959624,0.16740268,-0.07088559,1.0000008,1192
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.5823447,0.12778676,-0.008445058,1.0000006,1200
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.50566983,0.14399874,-0.020151589,1.0000005,1194
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.7508578,0.12492145,0.09686551,1.0000008,1200
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.6175589,0.13008347,-0.06825148,1.0000006,1200
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.5925539,0.14884937,-0.047266673,1.0000005,1200
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.5286057,0.14544952,-0.011458616,1.0000007,1199
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.6236216,0.13883938,-0.024200834,1.0000008,1200
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.6227546,0.14488359,-0.0509514,1.0000006,1200
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.5528589,0.14962086,-0.0068246988,1.0000004,1199
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.48081267,0.14554404,-0.03739087,1.0000006,1200
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.5055125,0.15110502,-0.07214487,1.0000005,1200
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.5794759,0.1189226,0.014090538,1.0000006,1199
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.70740044,0.13418925,0.015089401,1.0000005,1152
