dimension,modality,n_images,within_mean,cross_mean,delta,median_diff,ci_lo,ci_hi,n_pos,n_zero,n_abs_ties,w_stat,p_wilcoxon,p_wilcoxon_bh,p_sign,p_sign_bh,rank_biserial,wilcoxon_method,ci_relation_to_exploratory_reference
gender,caption,50,0.8735963666439056,0.8719047844409943,0.0016915822029113948,0.0008865594863892157,0.0011774677635957324,0.0027911784197444567,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,below
gender,justification,50,0.5649319118261338,0.5628277719020843,0.002104139924049381,0.001985684037208557,0.0017700356830576166,0.0025648829687331173,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
gender,perception,50,0.43868556847155366,0.4356920239073975,0.0029935445641562854,0.0020325100641722382,0.002276262460110343,0.004024111294342293,48,0,0,5.0,1.7763568394002505e-14,1.7763568394002505e-14,2.2666313270747196e-12,2.2666313270747196e-12,0.9921568627450981,exact,
economic_status,caption,50,0.8796618735790253,0.865849347114563,0.013812526464462268,0.008920431137084961,0.010196329682060317,0.02235836201445688,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,above
economic_status,justification,50,0.5947298568487167,0.533079509139061,0.06165034770965577,0.05772621929645538,0.053772205091445695,0.07098627605092503,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
economic_status,perception,50,0.4550841933972144,0.4193207294267225,0.0357634639704919,0.02280921503965319,0.02726828747036218,0.04791789325261706,49,0,0,1.0,3.552713678800501e-15,3.875687649600546e-15,9.059419880941277e-14,9.883003506481393e-14,0.9984313725490196,exact,
political_spectrum,caption,50,0.8763463187217713,0.8691594278812409,0.007186890840530409,0.002548187971115057,0.003538741918053907,0.021717597084808873,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,overlaps
political_spectrum,justification,50,0.5860785830020905,0.5417164880037307,0.04436209499835968,0.03928735852241516,0.03902483392919347,0.051958314478684466,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
political_spectrum,perception,50,0.44576077630931255,0.4286286836786626,0.01713209263064995,0.012798513095613709,0.01371868641196429,0.02144465749921841,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
personality,caption,50,0.8748967409133911,0.8716791009902954,0.0032176399230957053,0.00250890851020813,0.0024867784215626123,0.004272232314695847,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,below
personality,justification,50,0.5789128506183624,0.5563801437616348,0.02253270685672761,0.020893394947052002,0.01996360533144218,0.02569588560112794,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
personality,perception,50,0.44534404232818653,0.43311900384776336,0.012225038480423106,0.00898872659389044,0.009737664886631017,0.015599540290270298,50,0,0,0.0,1.7763568394002505e-15,2.1316282072803005e-15,1.7763568394002505e-15,2.1316282072803005e-15,1.0,exact,
