image_id,dimension,modality,within_mean,cross_mean
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,caption,0.9450917,0.9444837
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,justification,0.58829814,0.5864883
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,caption,0.9454416,0.9441343
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,justification,0.6093648,0.56545675
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,caption,0.9452509,0.9443247
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,justification,0.61325026,0.56157786
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,caption,0.9452959,0.9445341
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,justification,0.6027507,0.57973266
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,caption,0.7357559,0.7329212
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,justification,0.4886823,0.4856776
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,caption,0.751901,0.716803
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,justification,0.53383714,0.440598
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,caption,0.73587227,0.732805
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,justification,0.5055984,0.46878976
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,caption,0.7426106,0.7302111
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,justification,0.5026698,0.47945258
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,caption,0.830857,0.83083993
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,justification,0.6251553,0.6233173
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,caption,0.8467964,0.81492716
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,justification,0.6468181,0.60169053
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,caption,0.83211535,0.8295835
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,justification,0.6506425,0.59787256
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,caption,0.8313675,0.8305896
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,justification,0.632518,0.62010443
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,caption,0.83709854,0.8347098
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,justification,0.5411634,0.5383696
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,caption,0.84510154,0.82672006
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,justification,0.5713979,0.50818527
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,caption,0.8374973,0.8343115
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,justification,0.5610586,0.5185075
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,caption,0.83907837,0.8343196
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,justification,0.55632514,0.53150594
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,caption,0.9068713,0.9061085
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,justification,0.5511369,0.54460084
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,caption,0.90831804,0.90466416
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,justification,0.59183997,0.50396556
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,caption,0.9070951,0.90588534
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,justification,0.57435584,0.52142054
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,caption,0.9071148,0.90617764
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,justification,0.5547686,0.5444234
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,caption,0.88057464,0.88017666
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,justification,0.5286108,0.5270325
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,caption,0.8850725,0.87568635
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,justification,0.5448498,0.5108205
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,caption,0.8887314,0.8720338
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,justification,0.5492268,0.50645065
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,caption,0.8841821,0.8784771
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,justification,0.5474662,0.5180229
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,caption,0.92767304,0.9266249
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,justification,0.48339188,0.4801892
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,caption,0.92960507,0.9246959
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,justification,0.50397366,0.45964164
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,caption,0.9284238,0.92587507
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,justification,0.5397683,0.4239068
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,caption,0.92780536,0.9268208
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,justification,0.51948684,0.4629874
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,caption,0.97261846,0.97241837
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,justification,0.5572366,0.5535657
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,caption,0.97280675,0.9722304
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,justification,0.6346431,0.47628814
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,caption,0.9725207,0.9725162
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,justification,0.56804806,0.5427723
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,caption,0.9725934,0.972481
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,justification,0.56693506,0.5496464
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,gender,caption,0.9263252,0.9259918
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,gender,justification,0.5654653,0.5634632
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,economic_status,caption,0.92651427,0.9258033
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,economic_status,justification,0.5870988,0.54186577
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,political_spectrum,caption,0.9277657,0.92455375
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,political_spectrum,justification,0.5839336,0.5450257
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,personality,caption,0.9263475,0.926064
